"","internal_id","date"
"652",11411,1892-05-01
"653",11410,1892-11-01
"654",11409,1892-01-01
"655",11408,1886-02-01
"656",11407,1891-02-01
"657",11406,1890-08-01
"658",11405,1890-10-01
"659",11404,1891-10-01
"660",11403,1892-07-01
"661",11402,1892-05-01
"662",11401,1892-11-01
"663",11400,1891-06-01
"664",11399,1892-01-01
"665",11398,1886-02-01
"666",11397,1892-07-01
"667",11396,1891-02-01
"668",11395,1890-08-01
"669",11394,1891-10-01
"670",11393,1892-05-01
"671",11392,1886-02-01
"672",11391,1890-10-01
"673",11390,1891-06-01
"674",11389,1892-01-01
"675",11388,1890-03-01
"676",11387,1891-01-01
"677",11386,1890-07-01
"678",11385,1890-07-01
"679",11384,1889-11-01
"680",11383,1891-10-01
"681",11382,1892-04-01
"682",11381,1891-01-01
"683",11380,1891-01-01
"684",11379,1892-01-01
"685",11378,1890-10-01
"686",11377,1891-06-01
"687",11376,1889-11-01
"688",11375,1890-03-01
"689",11374,1890-07-01
"690",11373,1891-09-01
"691",11372,1892-04-01
"692",11371,1891-01-01
"693",11370,1891-01-01
"694",11369,1891-05-01
"695",11368,1886-02-01
"696",11367,1890-10-01
"697",11366,1890-07-01
"698",11365,1891-09-01
"699",11364,1891-09-01
"700",11363,1892-04-01
"701",11362,1889-11-01
"702",11361,1890-03-01
"703",11360,1891-01-01
"704",11359,1890-07-01
"705",11358,1891-05-01
"706",11357,1891-05-01
"707",11356,1890-10-01
"708",11355,1891-12-01
"709",11354,1890-02-01
"710",11353,1892-04-01
"711",11352,1892-04-01
"712",11351,1891-01-01
"713",11350,1886-01-01
"714",11349,1889-11-01
"715",11348,1891-05-01
"716",11347,1890-06-01
"717",11346,1891-09-01
"718",11345,1890-09-01
"719",11344,1892-04-01
"720",11343,1891-12-01
"721",11342,1891-12-01
"722",11341,1890-02-01
"723",11340,1889-11-01
"724",11339,1891-05-01
"725",11338,1891-05-01
"726",11337,1891-05-01
"727",11336,1890-06-01
"728",11335,1891-08-01
"729",11334,1890-02-01
"730",11333,1890-09-01
"731",11332,1890-09-01
"732",11331,1886-01-01
"733",11330,1890-12-01
"734",11329,1889-09-01
"735",11328,1889-01-01
"736",11327,1890-06-01
"737",11326,1889-11-01
"738",11325,1891-08-01
"739",11324,1891-04-01
"740",11323,1890-02-01
"741",11322,1890-09-01
"742",11321,1890-12-01
"743",11320,1889-08-01
"744",11319,1890-05-01
"745",11318,1889-01-01
"746",11317,1891-08-01
"747",11316,1891-04-01
"748",11315,1890-01-01
"749",11314,1890-09-01
"750",11313,1889-11-01
"751",11312,1886-01-01
"752",11311,1890-12-01
"753",11310,1890-05-01
"754",11309,1891-04-01
"755",11308,1889-01-01
"756",11307,1890-09-01
"757",11306,1889-08-01
"758",11305,1886-01-01
"759",11304,1890-01-01
"760",11303,1889-10-01
"761",11302,1890-05-01
"762",11301,1889-05-01
"763",11300,1890-12-01
"764",11299,1889-01-01
"765",11298,1890-08-01
"766",11297,1891-04-01
"767",11296,1889-08-01
"768",11295,1890-01-01
"769",11294,1890-01-01
"770",11293,1890-05-01
"771",11292,1889-10-01
"772",11291,1889-05-01
"773",11290,1889-05-01
"774",11289,1890-08-01
"775",11288,1890-12-01
"776",11287,1889-08-01
"777",11286,1891-03-01
"778",11285,1890-01-01
"779",11284,1890-04-01
"780",11283,1890-04-01
"781",11282,1890-04-01
"782",11281,1889-10-01
"783",11280,1889-04-01
"784",11279,1889-05-01
"785",11278,1889-05-01
"786",11277,1890-08-01
"787",11276,1890-11-01
"788",11275,1891-03-01
"789",11274,1889-08-01
